URL,Mapa,Time1,Mapas_T1,Score_T1,Time2,Mapas_T2,Score_T2,Vencedor
https://www.vlr.gg/219596/number-one-player-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r1,Lotus,Number One Player,,4,Douyu Gaming,,13,Douyu Gaming
https://www.vlr.gg/219596/number-one-player-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r1,Split,Number One Player,,12,Douyu Gaming,,14,Douyu Gaming
https://www.vlr.gg/219596/number-one-player-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r1,AllMaps,Number One Player,0,16,Douyu Gaming,2,27,Douyu Gaming
https://www.vlr.gg/219595/weibo-gaming-vs-totoro-gaming-valorant-champions-2023-china-qualifier-r1,Haven,Weibo Gaming,,13,Totoro Gaming,,15,Totoro Gaming
https://www.vlr.gg/219595/weibo-gaming-vs-totoro-gaming-valorant-champions-2023-china-qualifier-r1,Split,Weibo Gaming,,11,Totoro Gaming,,13,Totoro Gaming
https://www.vlr.gg/219595/weibo-gaming-vs-totoro-gaming-valorant-champions-2023-china-qualifier-r1,AllMaps,Weibo Gaming,0,24,Totoro Gaming,2,28,Totoro Gaming
https://www.vlr.gg/219594/gank-gaming-vs-royal-never-give-up-valorant-champions-2023-china-qualifier-r1,Ascent,Gank Gaming,,6,Royal Never Give Up,,13,Royal Never Give Up
https://www.vlr.gg/219594/gank-gaming-vs-royal-never-give-up-valorant-champions-2023-china-qualifier-r1,Lotus,Gank Gaming,,13,Royal Never Give Up,,10,Gank Gaming
https://www.vlr.gg/219594/gank-gaming-vs-royal-never-give-up-valorant-champions-2023-china-qualifier-r1,Bind,Gank Gaming,,11,Royal Never Give Up,,13,Royal Never Give Up
https://www.vlr.gg/219594/gank-gaming-vs-royal-never-give-up-valorant-champions-2023-china-qualifier-r1,AllMaps,Gank Gaming,1,30,Royal Never Give Up,2,36,Royal Never Give Up
https://www.vlr.gg/219598/four-angry-men-vs-night-wings-gaming-valorant-champions-2023-china-qualifier-r1,Bind,Four Angry Men,,15,Night Wings Gaming,,13,Four Angry Men
https://www.vlr.gg/219598/four-angry-men-vs-night-wings-gaming-valorant-champions-2023-china-qualifier-r1,Pearl,Four Angry Men,,13,Night Wings Gaming,,15,Night Wings Gaming
https://www.vlr.gg/219598/four-angry-men-vs-night-wings-gaming-valorant-champions-2023-china-qualifier-r1,Split,Four Angry Men,,11,Night Wings Gaming,,13,Night Wings Gaming
https://www.vlr.gg/219598/four-angry-men-vs-night-wings-gaming-valorant-champions-2023-china-qualifier-r1,AllMaps,Four Angry Men,1,39,Night Wings Gaming,2,41,Night Wings Gaming
