URL,Mapa,Time1,Mapas_T1,Score_T1,Time2,Mapas_T2,Score_T2,Vencedor
https://www.vlr.gg/173215/koi-vs-natus-vincere-champions-tour-2023-emea-league-w1,Ascent,KOI,,13,Natus Vincere,,7,KOI
https://www.vlr.gg/173215/koi-vs-natus-vincere-champions-tour-2023-emea-league-w1,Lotus,KOI,,20,Natus Vincere,,18,KOI
https://www.vlr.gg/173215/koi-vs-natus-vincere-champions-tour-2023-emea-league-w1,AllMaps,KOI,2,33,Natus Vincere,0,25,KOI
https://www.vlr.gg/173214/fnatic-vs-giants-gaming-champions-tour-2023-emea-league-w1,Icebox,FNATIC,,13,Giants Gaming,,3,FNATIC
https://www.vlr.gg/173214/fnatic-vs-giants-gaming-champions-tour-2023-emea-league-w1,Split,FNATIC,,13,Giants Gaming,,11,FNATIC
https://www.vlr.gg/173214/fnatic-vs-giants-gaming-champions-tour-2023-emea-league-w1,AllMaps,FNATIC,2,26,Giants Gaming,0,14,FNATIC
https://www.vlr.gg/173216/team-heretics-vs-fut-esports-champions-tour-2023-emea-league-w1,Pearl,Team Heretics,,4,FUT Esports,,13,FUT Esports
https://www.vlr.gg/173216/team-heretics-vs-fut-esports-champions-tour-2023-emea-league-w1,Lotus,Team Heretics,,9,FUT Esports,,13,FUT Esports
https://www.vlr.gg/173216/team-heretics-vs-fut-esports-champions-tour-2023-emea-league-w1,AllMaps,Team Heretics,0,13,FUT Esports,2,26,FUT Esports
https://www.vlr.gg/173217/team-liquid-vs-team-vitality-champions-tour-2023-emea-league-w1,Haven,Team Liquid,,6,Team Vitality,,13,Team Vitality
https://www.vlr.gg/173217/team-liquid-vs-team-vitality-champions-tour-2023-emea-league-w1,Fracture,Team Liquid,,13,Team Vitality,,2,Team Liquid
https://www.vlr.gg/173217/team-liquid-vs-team-vitality-champions-tour-2023-emea-league-w1,Lotus,Team Liquid,,10,Team Vitality,,13,Team Vitality
https://www.vlr.gg/173217/team-liquid-vs-team-vitality-champions-tour-2023-emea-league-w1,AllMaps,Team Liquid,1,29,Team Vitality,2,28,Team Vitality
https://www.vlr.gg/173218/natus-vincere-vs-giants-gaming-champions-tour-2023-emea-league-w1,Icebox,Natus Vincere,,15,Giants Gaming,,17,Giants Gaming
https://www.vlr.gg/173218/natus-vincere-vs-giants-gaming-champions-tour-2023-emea-league-w1,Split,Natus Vincere,,15,Giants Gaming,,13,Natus Vincere
https://www.vlr.gg/173218/natus-vincere-vs-giants-gaming-champions-tour-2023-emea-league-w1,Pearl,Natus Vincere,,13,Giants Gaming,,7,Natus Vincere
https://www.vlr.gg/173218/natus-vincere-vs-giants-gaming-champions-tour-2023-emea-league-w1,AllMaps,Natus Vincere,2,43,Giants Gaming,1,37,Natus Vincere
https://www.vlr.gg/173219/karmine-corp-vs-bbl-esports-champions-tour-2023-emea-league-w1,Icebox,Karmine Corp,,19,BBL Esports,,17,Karmine Corp
https://www.vlr.gg/173219/karmine-corp-vs-bbl-esports-champions-tour-2023-emea-league-w1,Split,Karmine Corp,,13,BBL Esports,,11,Karmine Corp
