URL,Mapa,Time1,Mapas_T1,Score_T1,Time2,Mapas_T2,Score_T2,Vencedor
https://www.vlr.gg/184513/zeta-division-vs-team-secret-champions-tour-2023-pacific-league-playoffs-ur1,Haven,ZETA DIVISION,,13,Team Secret,,15,Team Secret
https://www.vlr.gg/184513/zeta-division-vs-team-secret-champions-tour-2023-pacific-league-playoffs-ur1,Ascent,ZETA DIVISION,,12,Team Secret,,14,Team Secret
https://www.vlr.gg/184513/zeta-division-vs-team-secret-champions-tour-2023-pacific-league-playoffs-ur1,AllMaps,ZETA DIVISION,0,25,Team Secret,2,29,Team Secret
https://www.vlr.gg/184514/t1-vs-gen-g-champions-tour-2023-pacific-league-playoffs-ur1,Fracture,T1,,13,Gen.G,,8,T1
https://www.vlr.gg/184514/t1-vs-gen-g-champions-tour-2023-pacific-league-playoffs-ur1,Ascent,T1,,11,Gen.G,,13,Gen.G
https://www.vlr.gg/184514/t1-vs-gen-g-champions-tour-2023-pacific-league-playoffs-ur1,Lotus,T1,,13,Gen.G,,7,T1
https://www.vlr.gg/184514/t1-vs-gen-g-champions-tour-2023-pacific-league-playoffs-ur1,AllMaps,T1,2,37,Gen.G,1,28,T1
https://www.vlr.gg/184515/drx-vs-team-secret-champions-tour-2023-pacific-league-playoffs-ubsf,Haven,Kiwoom DRX,,9,Team Secret,,13,Team Secret
https://www.vlr.gg/184515/drx-vs-team-secret-champions-tour-2023-pacific-league-playoffs-ubsf,Split,Kiwoom DRX,,13,Team Secret,,5,Kiwoom DRX
https://www.vlr.gg/184515/drx-vs-team-secret-champions-tour-2023-pacific-league-playoffs-ubsf,Bind,Kiwoom DRX,,13,Team Secret,,4,Kiwoom DRX
https://www.vlr.gg/184515/drx-vs-team-secret-champions-tour-2023-pacific-league-playoffs-ubsf,AllMaps,Kiwoom DRX,2,35,Team Secret,1,22,Kiwoom DRX
https://www.vlr.gg/184516/paper-rex-vs-t1-champions-tour-2023-pacific-league-playoffs-ubsf,Lotus,Paper Rex,,13,T1,,10,Paper Rex
https://www.vlr.gg/184516/paper-rex-vs-t1-champions-tour-2023-pacific-league-playoffs-ubsf,Fracture,Paper Rex,,13,T1,,10,Paper Rex
https://www.vlr.gg/184516/paper-rex-vs-t1-champions-tour-2023-pacific-league-playoffs-ubsf,AllMaps,Paper Rex,2,26,T1,0,20,Paper Rex
https://www.vlr.gg/184517/t1-vs-zeta-division-champions-tour-2023-pacific-league-playoffs-lr1,Haven,T1,,13,ZETA DIVISION,,10,T1
https://www.vlr.gg/184517/t1-vs-zeta-division-champions-tour-2023-pacific-league-playoffs-lr1,Bind,T1,,12,ZETA DIVISION,,14,ZETA DIVISION
https://www.vlr.gg/184517/t1-vs-zeta-division-champions-tour-2023-pacific-league-playoffs-lr1,Fracture,T1,,13,ZETA DIVISION,,10,T1
https://www.vlr.gg/184517/t1-vs-zeta-division-champions-tour-2023-pacific-league-playoffs-lr1,AllMaps,T1,2,38,ZETA DIVISION,1,34,T1
