Mapa,Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Time1,Score_T1,Time2,Score_T2,target,Impacto_Ofensivo,Impacto_Suporte,Impacto_Geral
AllMaps,lukxo,LOUD,Killjoy,1.09,245.0,40,32,6,8,68.0,152.0,35.0,8.0,6.0,2.0,LOUD,18,C9,26,0,0.78,0.375,1.155
AllMaps,Darker,LOUD,Viper,1.03,211.0,33,32,14,1,73.0,131.0,31.0,3.0,4.0,-1.0,LOUD,18,C9,26,0,0.679,0.385,1.064
AllMaps,cauanzin,LOUD,Sova,0.84,188.0,28,33,11,-5,70.0,132.0,27.0,0.0,6.0,-6.0,LOUD,18,C9,26,0,0.523,0.347,0.87
AllMaps,pANcada,LOUD,Omen,0.75,130.0,22,26,10,-4,73.0,81.0,39.0,1.0,4.0,-3.0,LOUD,18,C9,26,0,0.482,0.342,0.824
AllMaps,Virtyy,LOUD,Yoru,0.69,174.0,27,35,7,-8,59.0,108.0,27.0,6.0,6.0,0.0,LOUD,18,C9,26,0,0.515,0.311,0.826
AllMaps,penny,C9,Viper,1.24,209.0,34,26,14,8,82.0,143.0,25.0,6.0,7.0,-1.0,LOUD,18,C9,26,1,0.76,0.422,1.182
AllMaps,OXY,C9,Neon,1.11,236.0,38,32,4,6,70.0,143.0,34.0,9.0,6.0,3.0,LOUD,18,C9,26,1,0.771,0.362,1.133
AllMaps,Xeppaa,C9,Sova,1.09,199.0,32,30,15,2,84.0,131.0,25.0,0.0,0.0,0.0,LOUD,18,C9,26,1,0.657,0.437,1.093
AllMaps,v1c,C9,Omen,1.06,209.0,31,29,15,2,82.0,131.0,24.0,6.0,3.0,3.0,LOUD,18,C9,26,1,0.687,0.433,1.12
AllMaps,Zellsis,C9,Killjoy,0.86,164.0,23,33,14,-10,84.0,111.0,24.0,5.0,2.0,3.0,LOUD,18,C9,26,1,0.526,0.415,0.941
AllMaps,leaf,G2,Viper,1.21,243.0,52,47,19,5,72.0,161.0,32.0,5.0,3.0,2.0,G2,29,100T,32,1,0.794,0.428,1.222
AllMaps,BABYBAY,G2,Chamber,1.01,181.0,42,40,14,2,67.0,126.0,17.0,6.0,8.0,-2.0,G2,29,100T,32,1,0.654,0.364,1.018
