Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
johnqt,SEN,Astra,1.5,234.0,47,21,14,26,92.0,149.5,32.0,2,0,2,2,1,0.5,0.807
s0m,NRG,Astra,1.433,237.7,49,31,31,18,88.0,151.0,23.7,8,1,7,3,2,0.67,0.803
Melser,KRÜ,Astra,1.248,216.6,77,63,37,14,77.2,144.4,35.6,13,6,7,5,0,0.0,0.749
Demon1,ENVY,Astra,1.175,232.0,42,30,12,12,84.5,149.5,41.0,4,4,0,2,1,0.5,0.745
Rossy,ENVY,Astra,1.27,202.0,39,32,30,7,75.5,133.5,19.5,3,2,1,2,1,0.5,0.734
valyn,G2,Astra,1.127,207.4,412,355,197,57,76.0,134.3,25.3,42,30,12,26,19,0.73,0.721
Cryocells,100T,Astra,1.13,218.0,20,17,2,3,63.0,149.0,46.0,3,0,3,1,0,0.0,0.714
pANcada,LOUD,Astra,1.079,201.2,188,167,81,21,75.0,136.0,34.7,16,13,3,11,4,0.36,0.705
xenom,MIBR,Astra,1.119,185.7,234,200,153,34,80.8,120.3,31.9,20,17,3,15,12,0.8,0.699
bang,100T,Astra,1.11,193.1,275,255,188,20,80.0,123.1,32.2,29,27,2,19,12,0.63,0.698
Mazino,MIBR,Astra,0.997,203.3,42,38,14,4,72.7,133.7,35.3,3,2,1,3,2,0.67,0.694
v1c,C9,Astra,1.092,190.7,237,220,130,17,77.3,119.9,28.3,27,26,1,16,8,0.5,0.686
artzin,FUR,Astra,1.03,187.0,95,86,38,9,72.3,118.4,34.6,12,9,3,7,5,0.71,0.683
Inspire,ENVY,Astra,1.117,202.0,48,40,20,8,71.0,128.0,31.7,2,3,-1,3,2,0.67,0.671
benG,KRÜ,Astra,1.05,188.8,71,76,31,-5,70.4,116.2,32.0,10,4,6,5,0,0.0,0.542
skuba,NRG,Astra,0.97,167.7,28,31,19,-3,87.3,105.7,32.3,3,3,0,3,2,0.67,0.527
yay,EG,Astra,0.938,178.0,55,62,20,-7,67.0,117.2,34.8,11,6,5,4,2,0.5,0.519
kiNgg,LEV,Astra,0.93,178.6,63,71,29,-8,69.0,112.6,34.0,7,6,1,5,1,0.2,0.507
supamen,EG,Astra,0.958,170.2,145,158,82,-13,68.5,106.8,41.4,15,12,3,10,5,0.5,0.505
nerve,FUR,Astra,0.98,162.0,12,14,14,-2,78.0,112.0,38.0,0,1,-1,1,0,0.0,0.491
