Jogador,Time,K,D,A,+/-,FK,FD,+/-_FK_FD,R,ACS,KAST,ADR,HS%,Score_Time,Score_Adv,Mapas_Time,Mapas_Adv,Impacto
Darker,LOUD,262,288,112,-26,34,34,0,0.932,195.5,70.0,123.0,25.0,148,232,4,26,0.593
cauanzin,LOUD,1248,1424,512,-176,148,208,-60,0.896,187.7,68.6,124.8,25.1,892,1062,52,110,0.558
Virtyy,LOUD,648,694,160,-46,144,182,-38,0.885,195.5,66.2,121.6,24.7,400,532,20,58,0.565
pANcada,LOUD,1264,1312,642,-48,132,108,24,0.99,182.5,72.4,124.4,35.9,892,1062,52,110,0.647
lukxo,LOUD,1130,950,244,180,204,146,58,1.104,233.8,68.3,152.1,32.6,592,746,32,82,0.773
OXY,C9,2110,1900,408,210,492,434,58,1.063,239.5,71.5,152.1,28.0,1140,1330,80,118,0.757
penny,C9,624,582,208,42,104,134,-30,1.015,199.6,71.7,131.0,21.6,430,434,36,30,0.645
v1c,C9,1898,1754,1040,144,226,200,26,1.09,197.5,77.0,127.7,29.5,1274,1436,94,122,0.704
Xeppaa,C9,1898,1852,782,46,174,150,24,1.036,201.0,75.2,133.3,25.1,1274,1436,94,122,0.674
Zellsis,C9,2020,2254,1160,-234,242,308,-66,0.938,178.0,71.7,115.7,22.8,1664,1666,157,149,0.568
BABYBAY,G2,952,840,310,112,178,150,28,1.057,204.0,74.3,133.7,20.3,680,634,58,62,0.706
trent,G2,2412,1982,1040,430,230,202,28,1.167,202.2,76.9,137.2,27.0,1616,1688,140,170,0.73
valyn,G2,2472,2174,1188,298,262,238,24,1.095,206.7,76.1,131.9,25.1,1616,1688,140,170,0.714
leaf,G2,2106,1794,688,312,324,244,80,1.132,226.5,73.0,148.8,25.0,1280,1342,112,138,0.753
jawgemo,G2,2486,2410,832,76,568,512,56,1.009,217.8,72.7,138.7,22.2,1616,1688,140,170,0.681
Cryocells,100T,2452,1942,536,510,384,270,114,1.16,227.5,75.8,149.4,29.2,1316,1586,70,170,0.777
