Jogador,Time,Mapa,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
infiltrator,KRÜ,Abyss,1.36,293.5,43,30,6,13,87.5,186.0,32.0,5,2,3,2,0,0.0,1.383
lukxo,LOUD,Abyss,1.443,279.7,77,44,8,33,75.7,174.7,34.7,12,10,2,3,0,0.0,1.363
vora,100T,Abyss,1.385,255.5,33,22,6,11,82.0,163.5,28.5,2,2,0,2,1,0.5,1.304
koalanoob,FUR,Abyss,1.25,271.3,58,41,18,17,79.3,169.0,28.3,13,9,4,3,3,1.0,1.297
alym,FUR,Abyss,1.33,239.7,51,34,22,17,81.0,147.7,27.3,12,4,8,3,3,1.0,1.284
johnqt,SEN,Abyss,1.308,217.0,64,43,18,21,82.8,150.2,32.0,8,2,6,4,3,0.75,1.27
Reduxx,SEN,Abyss,1.23,229.0,18,12,5,6,76.0,158.0,58.0,4,1,3,1,1,1.0,1.262
Ethan,NRG,Abyss,1.275,223.8,63,44,29,19,78.5,152.8,25.2,9,7,2,4,3,0.75,1.25
keiko,NRG,Abyss,1.253,215.7,46,34,20,12,81.0,134.0,40.3,8,3,5,3,3,1.0,1.242
trent,G2,Abyss,1.262,233.8,67,47,17,20,71.0,157.2,29.2,6,4,2,4,2,0.5,1.24
gobera,2G,Abyss,1.27,241.0,13,12,3,1,69.0,143.0,34.0,2,0,2,1,0,0.0,1.236
Melser,KRÜ,Abyss,1.243,222.7,47,37,16,10,75.3,139.7,42.3,9,4,5,3,0,0.0,1.234
heat,FUR,Abyss,1.17,222.0,16,12,1,4,75.0,144.0,59.0,4,0,4,1,0,0.0,1.225
mada,NRG,Abyss,1.13,244.0,65,53,22,12,76.8,160.2,27.0,14,11,3,4,3,0.75,1.224
aspas,MIBR,Abyss,1.2,233.0,141,98,16,43,74.9,146.4,25.2,25,22,3,8,4,0.5,1.213
skuba,NRG,Abyss,1.243,203.3,43,29,15,14,76.7,139.0,30.7,6,0,6,3,3,1.0,1.213
BABYBAY,G2,Abyss,1.03,280.0,18,17,3,1,60.0,178.0,35.0,6,2,4,1,0,0.0,1.197
leaf,G2,Abyss,1.172,228.2,69,57,15,12,67.8,146.2,29.5,14,5,9,4,2,0.5,1.191
xenom,MIBR,Abyss,1.132,207.2,62,57,43,5,79.5,135.0,35.2,5,3,2,4,3,0.75,1.191
dgzin,EG,Abyss,1.087,227.3,57,47,6,10,77.3,136.0,29.7,15,10,5,3,2,0.67,1.182
Derrek,EG,Abyss,1.155,227.0,35,30,10,5,77.5,151.5,39.5,2,3,-1,2,1,0.5,1.174
s0m,NRG,Abyss,1.02,239.0,18,17,7,1,86.0,161.0,37.0,1,3,-2,1,0,0.0,1.171
bao,EG,Abyss,1.11,225.0,55,49,10,6,71.3,143.7,36.0,9,9,0,3,2,0.67,1.158
JonahP,G2,Abyss,1.14,173.7,39,35,34,4,77.7,105.3,24.7,6,3,3,3,2,0.67,1.129
Rossy,ENVY,Abyss,1.07,204.0,48,41,10,7,70.3,120.7,27.7,4,2,2,3,0,0.0,1.126
brawk,NRG,Abyss,1.157,188.0,40,31,15,9,72.7,126.7,27.3,5,5,0,3,3,1.0,1.126
nerve,FUR,Abyss,1.147,200.7,47,35,11,12,76.3,135.3,26.0,2,4,-2,3,3,1.0,1.123
Asuna,100T,Abyss,1.16,189.0,24,22,29,2,84.5,117.0,20.0,1,3,-2,2,1,0.5,1.12
cortezia,SEN,Abyss,0.996,196.0,78,71,18,7,70.8,131.4,43.4,13,13,0,5,4,0.8,1.095
