Mapa,Time1,Score_T1,Time2,Score_T2,target,Score_T1,R_T1,ACS_T1,KAST_T1,ADR_T1,HS%_T1,Impacto_T1,+/-_T1,FK_T1,FD_T1,+/-_FK_FD_T1,Score_T2,R_T2,ACS_T2,KAST_T2,ADR_T2,HS%_T2,Impacto_T2,+/-_T2,FK_T2,FD_T2,+/-_FK_FD_T2,delta_R,delta_ACS,delta_KAST,delta_ADR,delta_HS%,delta_Impacto
Abyss,100T,13,C9,2,1,13,1.388,225.8,89.2,146.4,23.2,0.8160000000000001,29,9.0,6.0,3.0,2,0.5740000000000001,146.4,62.8,96.8,23.0,0.4772,-30,6.0,9.0,-3.0,0.8139999999999998,79.4,26.400000000000006,49.60000000000001,0.1999999999999993,0.33880000000000005
Abyss,C9,10,MIBR,13,0,10,0.8160000000000001,181.6,65.4,114.8,36.8,0.5761999999999999,-17,9.0,13.0,-4.0,13,1.126,201.0,81.0,135.0,32.6,0.7058,12,13.0,9.0,4.0,-0.30999999999999983,-19.400000000000006,-15.599999999999994,-20.200000000000003,4.199999999999996,-0.12960000000000005
Abyss,EG,10,MIBR,13,0,10,0.8699999999999999,186.2,61.8,123.6,34.8,0.5786,-15,8.0,15.0,-7.0,13,1.1039999999999999,214.4,80.2,138.6,27.2,0.7081999999999999,13,15.0,8.0,7.0,-0.23399999999999999,-28.200000000000017,-18.400000000000006,-15.0,7.599999999999998,-0.12959999999999994
Abyss,EG,8,SEN,13,0,8,0.6900000000000001,147.8,72.4,94.6,33.6,0.5496000000000001,-27,6.0,13.0,-7.0,13,1.142,197.0,79.8,132.6,36.0,0.7256,16,13.0,6.0,7.0,-0.45199999999999985,-49.19999999999999,-7.3999999999999915,-38.0,-2.3999999999999986,-0.17599999999999993
Abyss,ENVY,9,EG,13,0,9,0.826,173.2,67.4,110.8,26.8,0.5902000000000001,-13,11.0,11.0,0.0,13,1.136,199.8,73.6,132.4,31.6,0.7006,12,11.0,11.0,0.0,-0.30999999999999994,-26.600000000000023,-6.199999999999989,-21.60000000000001,-4.800000000000001,-0.11039999999999994
Abyss,FUR,7,EG,13,0,7,0.818,176.0,64.0,118.6,36.8,0.592,-16,11.0,9.0,2.0,13,1.1560000000000001,208.2,78.0,133.6,34.4,0.7438,16,9.0,11.0,-2.0,-0.3380000000000002,-32.19999999999999,-14.0,-15.0,2.3999999999999986,-0.15180000000000005
Abyss,FUR,13,G2,7,1,13,1.238,209.8,77.0,141.2,35.4,0.7568,21,10.0,10.0,0.0,7,0.756,174.2,64.0,113.8,29.4,0.5894,-21,10.0,10.0,0.0,0.482,35.60000000000002,13.0,27.39999999999999,6.0,0.1674
Abyss,G2,13,100T,10,1,13,1.068,214.0,73.2,138.0,23.2,0.7110000000000001,10,13.0,9.0,4.0,10,0.8799999999999999,200.4,67.8,130.2,32.8,0.63,-11,10.0,14.0,-4.0,0.18800000000000017,13.599999999999994,5.400000000000006,7.800000000000011,-9.599999999999998,0.08100000000000007
Abyss,G2,13,C9,8,1,13,1.254,211.8,74.2,141.4,29.8,0.7316,20,13.0,8.0,5.0,8,0.772,171.2,59.0,114.2,27.4,0.5424,-20,8.0,13.0,-5.0,0.482,40.60000000000002,15.200000000000003,27.200000000000003,2.400000000000002,0.18920000000000003
Abyss,G2,9,SEN,13,0,9,0.8480000000000001,170.4,63.8,114.0,25.8,0.5793999999999999,-16,10.0,12.0,-2.0,13,1.1019999999999999,199.8,73.8,129.4,29.4,0.7162,12,12.0,10.0,2.0,-0.2539999999999998,-29.400000000000006,-10.0,-15.400000000000006,-3.599999999999998,-0.13680000000000003
