URL,Mapa,Time1,Mapas_T1,Score_T1,Time2,Mapas_T2,Score_T2,Vencedor
https://www.vlr.gg/167348/koi-vs-nrg-esports-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Icebox,KOI,,11,NRG,,13,NRG
https://www.vlr.gg/167348/koi-vs-nrg-esports-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Haven,KOI,,9,NRG,,13,NRG
https://www.vlr.gg/167348/koi-vs-nrg-esports-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,AllMaps,KOI,0,20,NRG,2,26,NRG
https://www.vlr.gg/167349/detonation-focusme-vs-giants-gaming-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Haven,DetonatioN FocusMe,,4,Giants Gaming,,13,Giants Gaming
https://www.vlr.gg/167349/detonation-focusme-vs-giants-gaming-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Icebox,DetonatioN FocusMe,,7,Giants Gaming,,13,Giants Gaming
https://www.vlr.gg/167349/detonation-focusme-vs-giants-gaming-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,AllMaps,DetonatioN FocusMe,0,11,Giants Gaming,2,26,Giants Gaming
https://www.vlr.gg/167350/gen-g-vs-loud-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Pearl,Gen.G,,9,LOUD,,13,LOUD
https://www.vlr.gg/167350/gen-g-vs-loud-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Fracture,Gen.G,,12,LOUD,,14,LOUD
https://www.vlr.gg/167350/gen-g-vs-loud-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,AllMaps,Gen.G,0,21,LOUD,2,27,LOUD
https://www.vlr.gg/167351/funplus-phoenix-vs-karmine-corp-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Lotus,FunPlus Phoenix,,6,Karmine Corp,,13,Karmine Corp
https://www.vlr.gg/167351/funplus-phoenix-vs-karmine-corp-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Haven,FunPlus Phoenix,,13,Karmine Corp,,8,FunPlus Phoenix
https://www.vlr.gg/167351/funplus-phoenix-vs-karmine-corp-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Pearl,FunPlus Phoenix,,6,Karmine Corp,,13,Karmine Corp
https://www.vlr.gg/167351/funplus-phoenix-vs-karmine-corp-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,AllMaps,FunPlus Phoenix,1,25,Karmine Corp,2,34,Karmine Corp
https://www.vlr.gg/167352/bbl-esports-vs-drx-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Pearl,BBL Esports,,3,KIWOOM DRX,,13,KIWOOM DRX
https://www.vlr.gg/167352/bbl-esports-vs-drx-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Ascent,BBL Esports,,13,KIWOOM DRX,,11,BBL Esports
https://www.vlr.gg/167352/bbl-esports-vs-drx-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Haven,BBL Esports,,7,KIWOOM DRX,,13,KIWOOM DRX
https://www.vlr.gg/167352/bbl-esports-vs-drx-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,AllMaps,BBL Esports,1,23,KIWOOM DRX,2,37,KIWOOM DRX
https://www.vlr.gg/167353/cloud9-vs-paper-rex-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Lotus,Cloud9,,13,Paper Rex,,8,Cloud9
https://www.vlr.gg/167353/cloud9-vs-paper-rex-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Pearl,Cloud9,,13,Paper Rex,,4,Cloud9
https://www.vlr.gg/167353/cloud9-vs-paper-rex-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,AllMaps,Cloud9,2,26,Paper Rex,0,12,Cloud9
https://www.vlr.gg/167354/team-heretics-vs-evil-geniuses-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Pearl,Team Heretics,,8,Evil Geniuses,,13,Evil Geniuses
https://www.vlr.gg/167354/team-heretics-vs-evil-geniuses-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Ascent,Team Heretics,,8,Evil Geniuses,,13,Evil Geniuses
https://www.vlr.gg/167354/team-heretics-vs-evil-geniuses-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,AllMaps,Team Heretics,0,16,Evil Geniuses,2,26,Evil Geniuses
https://www.vlr.gg/167355/mibr-vs-talon-esports-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Haven,MIBR,,8,TALON,,13,TALON
https://www.vlr.gg/167355/mibr-vs-talon-esports-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,Fracture,MIBR,,11,TALON,,13,TALON
https://www.vlr.gg/167355/mibr-vs-talon-esports-champions-tour-2023-lock-in-s-o-paulo-alpha-ro16,AllMaps,MIBR,0,19,TALON,2,26,TALON
https://www.vlr.gg/167356/nrg-esports-vs-giants-gaming-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,Lotus,NRG,,12,Giants Gaming,,14,Giants Gaming
https://www.vlr.gg/167356/nrg-esports-vs-giants-gaming-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,Haven,NRG,,13,Giants Gaming,,1,NRG
https://www.vlr.gg/167356/nrg-esports-vs-giants-gaming-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,Icebox,NRG,,13,Giants Gaming,,7,NRG
https://www.vlr.gg/167356/nrg-esports-vs-giants-gaming-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,AllMaps,NRG,2,38,Giants Gaming,1,22,NRG
https://www.vlr.gg/167357/loud-vs-karmine-corp-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,Pearl,LOUD,,13,Karmine Corp,,10,LOUD
https://www.vlr.gg/167357/loud-vs-karmine-corp-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,Split,LOUD,,13,Karmine Corp,,8,LOUD
https://www.vlr.gg/167357/loud-vs-karmine-corp-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,AllMaps,LOUD,2,26,Karmine Corp,0,18,LOUD
https://www.vlr.gg/167358/drx-vs-cloud9-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,Pearl,KIWOOM DRX,,3,Cloud9,,13,Cloud9
https://www.vlr.gg/167358/drx-vs-cloud9-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,Haven,KIWOOM DRX,,13,Cloud9,,7,KIWOOM DRX
https://www.vlr.gg/167358/drx-vs-cloud9-champions-tour-2023-lock-in-s-o-paulo-alpha-qf,Icebox,KIWOOM DRX,,13,Cloud9,,2,KIWOOM DRX
